Trial_Number,Primary_Voltage_V,Primary_Current_A,Primary_Power_kW,Primary_Power_Factor,Secondary_Voltage_V,Secondary_Current_A,Secondary_Power_kW,Secondary_Power_Factor,Temperature_C,Humidity_percent,Efficiency_percent,Load_Category,Temp_Zone
1,228.2,10.63,1.83,0.755,19.13,12.89,0.21,0.835,136.7,26.1,75.0,Light (<50%),Emergency (>130°C)
2,225.13,14.97,2.8,0.83,19.33,8.76,0.14,0.818,126.6,20.5,78.14643849943535,Light (<50%),Critical (105-130°C)
3,229.79,18.41,3.04,0.719,19.06,13.78,0.22,0.821,126.3,71.1,83.17612189381968,Medium (50-70%),Critical (105-130°C)
4,229.15,25.46,5.09,0.872,19.35,12.64,0.17,0.709,55.0,40.3,87.52392080933028,Heavy (>70%),Normal (<85°C)
5,228.18,19.12,3.38,0.774,19.13,9.14,0.16,0.887,106.7,62.6,80.55836632527294,Medium (50-70%),Critical (105-130°C)
6,229.95,26.0,4.85,0.811,19.41,13.74,0.23,0.855,55.2,22.2,90.73872914300516,Heavy (>70%),Normal (<85°C)
7,229.38,17.87,3.41,0.831,19.24,14.32,0.22,0.792,59.6,37.3,89.54346865080743,Medium (50-70%),Normal (<85°C)
8,227.0,15.48,3.16,0.9,19.31,7.73,0.11,0.709,40.5,63.9,83.2548578595196,Light (<50%),Normal (<85°C)
9,229.98,23.23,4.78,0.894,19.52,7.09,0.12,0.844,110.9,57.6,83.24429575200732,Medium (50-70%),Critical (105-130°C)
10,227.27,33.85,6.73,0.875,19.16,11.0,0.16,0.736,139.3,80.9,75.0,Heavy (>70%),Emergency (>130°C)
11,228.81,23.48,4.6,0.856,19.32,7.0,0.1,0.765,29.4,85.0,88.38377549948255,Medium (50-70%),Normal (<85°C)
12,229.39,33.67,5.54,0.717,19.29,7.55,0.12,0.852,121.2,29.0,80.94729912325577,Heavy (>70%),Critical (105-130°C)
13,227.12,15.29,2.81,0.808,19.44,8.61,0.13,0.762,149.4,65.5,75.0,Light (<50%),Emergency (>130°C)
14,226.69,24.71,4.18,0.746,19.13,7.57,0.12,0.826,55.2,83.4,88.37693333488885,Heavy (>70%),Normal (<85°C)
15,226.07,13.31,2.67,0.887,19.34,10.78,0.18,0.857,126.3,33.3,75.0,Light (<50%),Critical (105-130°C)
16,228.65,26.83,5.5,0.897,19.06,10.22,0.15,0.768,133.0,37.4,75.04563543400081,Heavy (>70%),Emergency (>130°C)
17,226.25,33.08,5.91,0.789,19.52,11.4,0.16,0.71,149.9,78.5,77.11893333181175,Heavy (>70%),Emergency (>130°C)
18,227.43,15.34,2.72,0.78,19.04,10.03,0.17,0.897,59.6,74.9,84.99626806847814,Light (<50%),Normal (<85°C)
19,227.78,27.96,4.66,0.731,19.18,14.75,0.23,0.816,93.7,72.4,87.04815967614485,Heavy (>70%),High (85-105°C)
20,225.79,34.02,5.5,0.716,19.11,11.76,0.19,0.835,55.9,28.4,88.23814453099631,Heavy (>70%),Normal (<85°C)
21,227.1,24.59,4.5,0.805,19.56,8.63,0.14,0.843,56.4,47.7,91.2455934772432,Heavy (>70%),Normal (<85°C)
22,225.36,21.46,4.35,0.9,19.6,7.59,0.11,0.743,59.6,85.3,87.1832404970717,Medium (50-70%),Normal (<85°C)
23,229.17,27.59,5.2,0.822,19.59,12.23,0.17,0.702,127.5,41.0,84.04628601125731,Heavy (>70%),Critical (105-130°C)
